Cretlog;1;2;3;4;5;6;7;8
1.6;0.007751168394265;0.010641241612712;0.01659568558159;0.010017679930351;0.008778722552904;0.022758212090368;0.006068637536427;0.088934036564219
1.7;0.009139515673412;0.012870669206799;0.018502221160984;0.011156402414882;0.010057926946846;0.025391412373559;0.007035917490812;0.094770505305013
1.8;0.010691566520205;0.015435163791154;0.020514513222187;0.012369488075571;0.011453768784298;0.028156572380984;0.008099377006605;0.100684814618836
1.9;0.012442024264218;0.018394283636071;0.02269780452882;0.01364107276916;0.012997534662186;0.031038719066557;0.009273488174946;0.106653056580297
2;0.014361482634208;0.021766340759952;0.024999501078888;0.014967546457673;0.01466358745117;0.034036349462017;0.010519904960785;0.112637193082238
2.1;0.016535613362218;0.025558825808448;0.027451845210398;0.016335190555598;0.016523930815639;0.037139839436693;0.011871610616288;0.118640565873523
2.2;0.018928466468685;0.029755248463525;0.029995045411383;0.017778668758445;0.018536598833875;0.040319060259648;0.01332429855416;0.124616096853284
2.3;0.021519582446358;0.034380935309901;0.032659249655583;0.019230058643576;0.020701530098353;0.043595129177941;0.014859405681345;0.130556023801578
2.4;0.024331939430328;0.039422084503914;0.035478136456668;0.020725689514909;0.023052689261051;0.046887625247259;0.016465200405011;0.136443362913876
2.5;0.027360234799354;0.044849666766213;0.038426779274521;0.022247058486461;0.025504481330201;0.050228835286729;0.01816839850373;0.142253547984809
2.6;0.030654973979983;0.050584355540811;0.041507084024815;0.023777181821358;0.028149829581796;0.053598014144669;0.019938794082555;0.147975876708223
2.7;0.034130327303411;0.056625342654841;0.044665087718271;0.02530983731507;0.030969737800234;0.056952538973566;0.02174323202205;0.153594663220734
2.8;0.037837868633845;0.062922506472017;0.047967374436973;0.02685663834577;0.033965895394942;0.060317076206065;0.023616056732098;0.1590991251397
2.9;0.041737066025376;0.069422624275424;0.051343161088351;0.028410644299744;0.037133844802778;0.06367313875173;0.025542395317924;0.164484075394882
3;0.045859067069023;0.076077371424883;0.054863613626618;0.029961223795956;0.040455862306423;0.066996867596464;0.027498931332316;0.169737635167062
3.1;0.050146164621596;0.082833974170611;0.058489832179417;0.031519996238362;0.043938794614014;0.070290573659992;0.029480435487432;0.17485712924217
3.2;0.05463667132066;0.08964788965047;0.062208886817334;0.033069385911049;0.047597649262208;0.073545786870734;0.031500985631283;0.179841037647302
3.3;0.05927345487079;0.096467604456658;0.066039508907932;0.034604520266507;0.051399384820187;0.076759319925579;0.033537197158641;0.184684326637333
3.4;0.064063118024899;0.103277710951631;0.069939478440105;0.036154741969169;0.055362993019906;0.079919793292203;0.035579927417621;0.189387837281044
3.5;0.069007824188617;0.110027187858554;0.073937499843925;0.037693777411038;0.059454153376438;0.083021434465769;0.037623055447131;0.193952936929875
3.6;0.074069331503891;0.116698519066416;0.078033064939885;0.03922555426001;0.06369068001544;0.086061877032577;0.039669065851666;0.198379684995119
3.7;0.079223592193723;0.123262650459299;0.082174519218971;0.040772604108688;0.068033271432232;0.089041757359807;0.041708775875956;0.202670504923872
